Date/Time,Cooling Load(kWh),Site Outdoor Air Drybulb Temperature [C](Hourly),Site Outdoor Air Wetbulb Temperature [C](Hourly),Site Outdoor Air Humidity Ratio [kgWater/kgDryAir](Hourly),Site Wind Speed [m/s](Hourly),Chiller Electricity Energy(kWh)
 08/10  01:00:00,0,25.24166667,25.06284018,0.020380664,2.241666667,0
 08/10  02:00:00,0,25.08333333,25.03098066,0.020394651,2.083333333,0
 08/10  03:00:00,0,25,24.99999249,0.020378097,1.825,0
 08/10  04:00:00,0,25,24.99999249,0.020378097,1.466666667,0
 08/10  05:00:00,0,25,24.99999249,0.020378097,1.125,0
 08/10  06:00:00,0,25,24.9999934,0.020353555,1.175,0
 08/10  07:00:00,0,25,24.99999448,0.02031161,1.533333333,0
 08/10  08:00:00,369.5190947,25,24.99999441,0.020269837,1.875,388.0807383
 08/10  09:00:00,515.7636114,25.40833333,25.11151802,0.020289733,2.408333333,432.3348853
 08/10  10:00:00,524.9056075,26.05,25.30409134,0.020371064,3.05,371.1663261
 08/10  11:00:00,532.6338158,26.70833333,25.46916092,0.020405094,3.708333333,353.983935
 08/10  12:00:00,546.9919411,27.40833333,25.59325667,0.020349806,3.825,349.7191381
 08/10  13:00:00,508.6717425,28.05,25.71876796,0.020301543,3.466666667,331.3826319
 08/10  14:00:00,550.5297833,28.70833333,25.89887409,0.020346291,3.125,346.3434258
 08/10  15:00:00,551.9725567,28.825,25.90881961,0.020323032,3.175,347.4314186
 08/10  16:00:00,566.2177725,28.46666667,25.80771067,0.020299942,3.533333333,350.9078797
 08/10  17:00:00,556.8842919,28.125,25.77760472,0.020406409,3.875,347.41744
 08/10  18:00:00,456.4104086,27.59166667,25.63927889,0.020391145,3.591666667,310.4676019
 08/10  19:00:00,329.2546231,26.95,25.44117285,0.020302676,2.95,269.1231955
 08/10  20:00:00,315.8220178,26.29166667,25.28617186,0.020310352,2.291666667,263.1002871
 08/10  21:00:00,230.0654568,26,25.14504767,0.020195601,2,240.5454653
 08/10  22:00:00,0,26,25.09000332,0.020102604,2,0
 08/10  23:00:00,0,26,24.93507856,0.019842401,2,0
 08/10  24:00:00,0,26,24.74611624,0.019514942,2,0
 08/11  01:00:00,0,26,24.69037742,0.019413831,2,0
 08/11  02:00:00,0,26,24.61187375,0.019284106,2,0
 08/11  03:00:00,0,25.825,24.46428231,0.019115803,2.175,0
 08/11  04:00:00,0,25.46666667,24.40254072,0.019167161,2.533333333,0
 08/11  05:00:00,0,25.125,24.30739547,0.019157306,2.875,0
 08/11  06:00:00,0,25.175,24.33491971,0.019180914,3.175,0
 08/11  07:00:00,0,25.53333333,24.40190794,0.019125954,3.533333333,0
 08/11  08:00:00,385.9326806,25.875,24.49082746,0.019117769,3.875,342.5319139
 08/11  09:00:00,519.1932761,26.40833333,24.79219569,0.019388577,4,408.2268567
 08/11  10:00:00,541.0409997,27.05,25.21496483,0.019823797,4,370.2848042
 08/11  11:00:00,553.8204536,27.70833333,25.62242079,0.020237754,4,357.4979886
 08/11  12:00:00,553.8106242,28.40833333,26.00051578,0.020594405,4,354.3681019
 08/11  13:00:00,512.0561997,29.05,26.39967796,0.021023795,4,340.6645831
 08/11  14:00:00,564.4092003,29.70833333,26.78104233,0.02142536,4,362.6584453
 08/11  15:00:00,579.8104422,29.59166667,26.54302419,0.021061933,4.408333333,365.4761758
 08/11  16:00:00,587.0043619,28.95,25.93957066,0.020279629,5.05,358.6650108
 08/11  17:00:00,581.8284761,28.29166667,25.32098562,0.019496369,5.708333333,348.3853047
 08/11  18:00:00,473.7415903,27.825,24.96934861,0.019089047,5.591666667,308.0265525
 08/11  19:00:00,344.0504008,27.46666667,24.8634562,0.01905612,4.95,266.4120778
 08/11  20:00:00,330.3281047,27.125,24.82764698,0.019129845,4.291666667,262.9749532
 08/11  21:00:00,240.3787259,26.88333333,24.79826745,0.019175304,4.116666667,240.3641729
 08/11  22:00:00,0,26.74166667,24.7212743,0.019108056,4.258333333,0
 08/11  23:00:00,0,26.58333333,24.6508538,0.019059103,4.416666667,0
 08/11  24:00:00,0,26.38333333,24.59714282,0.019055715,4.616666667,0
 08/12  01:00:00,0,26.24166667,24.59784399,0.019117166,4.758333333,0
 08/12  02:00:00,0,26.08333333,24.580802,0.019156525,4.916666667,0
 08/12  03:00:00,0,26,24.55647218,0.01915198,4.591666667,0
 08/12  04:00:00,0,26,24.55647218,0.01915198,3.95,0
 08/12  05:00:00,0,26,24.55647218,0.01915198,3.291666667,0
 08/12  06:00:00,0,26.175,24.72614422,0.019357605,3.175,0
 08/12  07:00:00,0,26.53333333,25.07381799,0.019772673,3.533333333,0
 08/12  08:00:00,410.5893439,26.875,25.40529754,0.020178479,3.875,357.8232472
 08/12  09:00:00,535.0093119,27.40833333,25.51221566,0.020133051,4,435.3628292
 08/12  10:00:00,556.2622525,28.05,25.40320711,0.019673674,4,376.2222256
 08/12  11:00:00,561.1631361,28.70833333,25.26878212,0.019153217,4,354.2537428
 08/12  12:00:00,565.321215,29,25.39938526,0.019253999,3.825,348.0665972
 08/12  13:00:00,521.7399594,29,25.70833452,0.019791025,3.466666667,333.0215072
 08/12  14:00:00,577.2571125,29,25.92489185,0.020178253,3.125,351.5380947
 08/12  15:00:00,580.8919572,29.175,26.06319635,0.020354006,2.591666667,356.1152897
 08/12  16:00:00,597.0465292,29.53333333,26.15295711,0.020371496,1.95,362.9926122
 08/12  17:00:00,600.1645625,29.875,26.24766593,0.020415057,1.291666667,364.3354375
 08/12  18:00:00,509.8233408,29.59166667,25.91868499,0.01996993,1.583333333,332.8816706
 08/12  19:00:00,369.2044119,28.95,25.23378351,0.019056419,2.583333333,277.4718851
 08/12  20:00:00,351.4124806,28.29166667,24.56137361,0.018207517,3.583333333,265.7783579
 08/12  21:00:00,259.2421933,27.825,24.39617462,0.018134277,3.591666667,240.1615679
 08/12  22:00:00,0,27.46666667,24.59491653,0.018611911,2.95,0
 08/12  23:00:00,0,27.125,24.76753721,0.019042184,2.291666667,0
 08/12  24:00:00,0,26.825,24.90512785,0.019398741,1.591666667,0
 08/13  01:00:00,0,26.46666667,25.05334325,0.019787395,0.95,0
 08/13  02:00:00,0,26.125,25.17973886,0.020137225,0.291666667,0
 08/13  03:00:00,0,26,25.22258579,0.020262987,0,0
 08/13  04:00:00,0,26,25.22246057,0.020275177,0,0
 08/13  05:00:00,0,26,25.22237693,0.02028389,0,0
 08/13  06:00:00,0,26.175,25.31731495,0.020370322,0,0
